Animation,Rendering job (geometry),Instance type (geometry),Rendering job (pre),Instance type (pre),Rendering job (final),Instance type (final),Scene type,Notes,Any good views of scene?
ai_001_001_cam_00,ai_001_001@scene_cam_00_geometry,large,ai_001_001@scene_cam_00_pre,2xlarge,ai_001_001@scene_cam_00_final,9xlarge,Bathroom,,
ai_001_002_cam_00,ai_001_002@scene_cam_00_geometry,large,ai_001_002@scene_cam_00_pre,2xlarge,ai_001_002@scene_cam_00_final,9xlarge,Office,Office (music studio),
ai_001_002_cam_01,ai_001_002@scene_cam_01_geometry,large,ai_001_002@scene_cam_01_pre,2xlarge,ai_001_002@scene_cam_01_final,9xlarge,Office,Office (music studio),
ai_001_002_cam_02,ai_001_002@scene_cam_02_geometry,large,ai_001_002@scene_cam_02_pre,2xlarge,ai_001_002@scene_cam_02_final,9xlarge,Office,Office (music studio),
ai_001_002_cam_03,ai_001_002@scene_cam_03_geometry,large,ai_001_002@scene_cam_03_pre,2xlarge,ai_001_002@scene_cam_03_final,9xlarge,Office,Office (music studio),
ai_001_003_cam_00,ai_001_003@scene_cam_00_geometry,large,ai_001_003@scene_cam_00_pre,2xlarge,ai_001_003@scene_cam_00_final,9xlarge,Office,,
ai_001_004_cam_00,ai_001_004@scene_cam_00_geometry,large,ai_001_004@scene_cam_00_pre,2xlarge,ai_001_004@scene_cam_00_final,9xlarge,Living room,,
ai_001_005_cam_00,ai_001_005@scene_cam_00_geometry,large,ai_001_005@scene_cam_00_pre,2xlarge,ai_001_005@scene_cam_00_final,9xlarge,Kitchen,,
ai_001_005_cam_01,ai_001_005@scene_cam_01_geometry,large,ai_001_005@scene_cam_01_pre,2xlarge,ai_001_005@scene_cam_01_final,9xlarge,Kitchen,,
ai_001_005_cam_02,ai_001_005@scene_cam_02_geometry,large,ai_001_005@scene_cam_02_pre,2xlarge,ai_001_005@scene_cam_02_final,9xlarge,Kitchen,,
ai_001_005_cam_03,ai_001_005@scene_cam_03_geometry,large,ai_001_005@scene_cam_03_pre,2xlarge,ai_001_005@scene_cam_03_final,9xlarge,Kitchen,,
ai_001_006_cam_00,ai_001_006@scene_cam_00_geometry,large,ai_001_006@scene_cam_00_pre,2xlarge,ai_001_006@scene_cam_00_final,9xlarge,Bedroom,,
ai_001_006_cam_01,ai_001_006@scene_cam_01_geometry,large,ai_001_006@scene_cam_01_pre,2xlarge,ai_001_006@scene_cam_01_final,9xlarge,Bedroom,,
ai_001_006_cam_02,ai_001_006@scene_cam_02_geometry,large,ai_001_006@scene_cam_02_pre,2xlarge,ai_001_006@scene_cam_02_final,9xlarge,Bedroom,,
ai_001_007_cam_00,ai_001_007@scene_cam_00_geometry,large,ai_001_007@scene_cam_00_pre,2xlarge,ai_001_007@scene_cam_00_final,9xlarge,Bathroom,,
ai_001_008_cam_00,ai_001_008@scene_cam_00_geometry,large,ai_001_008@scene_cam_00_pre,2xlarge,ai_001_008@scene_cam_00_final,9xlarge,Living room,,
ai_001_009_cam_00,ai_001_009@scene_cam_00_geometry,large,ai_001_009@scene_cam_00_pre,2xlarge,ai_001_009@scene_cam_00_final,9xlarge,Living room,,
ai_001_010_cam_00,ai_001_010@scene_cam_00_geometry,large,ai_001_010@scene_cam_00_pre,2xlarge,ai_001_010@scene_cam_00_final,9xlarge,Kitchen,,
ai_001_010_cam_01,ai_001_010@scene_cam_01_geometry,large,ai_001_010@scene_cam_01_pre,2xlarge,ai_001_010@scene_cam_01_final,9xlarge,Kitchen,,
