scene_name,labeling_time_seconds,scene_included_in_dataset
ai_010_001,997.0,True
ai_010_002,480.0,True
ai_010_003,1045.0,True
ai_010_004,1407.0,True
ai_010_005,279.0,True
ai_010_006,382.0,True
ai_010_007,429.0,True
ai_010_008,1047.0,True
ai_010_009,1059.0,True
ai_011_001,1422.0,True
ai_011_003,463.0,True
ai_011_004,490.0,True
ai_011_005,365.0,True
ai_011_006,150.0,True
ai_011_007,301.0,True
ai_011_008,476.0,True
ai_011_009,370.0,True
ai_011_010,2415.0,True
ai_012_001,1387.0,True
ai_012_002,478.0,False
ai_012_003,6750.0,False
ai_012_004,905.0,True
ai_012_005,797.0,True
ai_012_006,981.0,False
ai_012_007,573.0,True
ai_012_008,2163.0,False
ai_012_009,1830.0,True
ai_012_010,3811.0,True
ai_013_001,698.0,True
ai_013_002,350.0,True
ai_013_003,610.0,True
ai_013_004,1003.0,True
ai_013_005,700.0,True
ai_013_006,1402.0,True
ai_013_007,1700.0,True
ai_013_008,879.0,False
ai_013_009,1653.0,True
ai_013_010,827.0,True
ai_014_001,919.0,False
ai_014_002,393.0,False
ai_014_003,498.0,True
ai_014_004,830.0,False
ai_014_005,788.0,False
ai_014_006,781.0,True
ai_014_008,592.0,False
ai_014_009,327.0,False
ai_014_010,555.0,True
ai_015_001,1686.0,True
ai_015_002,3577.0,False
ai_015_003,1628.0,True
ai_015_004,2160.0,True
ai_015_005,947.0,True
ai_015_006,2361.0,True
ai_015_007,993.0,True
ai_015_008,680.0,True
ai_015_009,781.0,True
ai_015_010,1317.0,True
ai_016_001,2855.0,True
ai_016_002,403.0,True
ai_016_003,3136.0,True
ai_016_004,2146.0,True
ai_016_005,358.0,True
ai_016_006,1732.0,True
ai_016_007,551.0,True
ai_016_008,1057.0,False
ai_016_009,2189.0,True
ai_016_010,514.0,True
ai_017_001,1644.0,True
ai_017_002,798.0,True
ai_017_003,6633.0,True
ai_017_004,2382.0,True
ai_017_005,979.0,True
ai_017_006,1272.0,True
ai_017_007,1213.0,True
ai_017_008,2316.0,True
ai_017_009,1632.0,True
ai_017_010,848.0,True
ai_018_001,1665.0,True
ai_018_002,540.0,True
ai_018_003,845.0,True
ai_018_004,1209.0,True
ai_018_005,1295.0,True
ai_018_006,377.0,True
ai_018_007,1143.0,True
ai_018_008,4248.0,True
ai_018_009,2255.0,True
ai_018_010,1653.0,True
ai_019_001,2113.0,True
ai_019_002,2396.0,True
ai_019_003,428.0,True
ai_019_004,439.0,True
ai_019_006,392.0,True
ai_019_007,1270.0,True
ai_019_008,747.0,True
ai_019_009,316.0,True
