material_name,illum,d,Kd,Tr,Ka,Ks,Tf,Ns
wire_162162162,2,1,0.63529413938522338867 0.63529413938522338867 0.63529413938522338867,0,0.63529413938522338867 0.63529413938522338867 0.63529413938522338867,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_125125000,2,1,0.49019610881805419922 0.49019610881805419922 0.00000000000000000000,0,0.49019610881805419922 0.49019610881805419922 0.00000000000000000000,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_000083125,2,1,0.00000000000000000000 0.32549020648002624512 0.49019610881805419922,0,0.00000000000000000000 0.32549020648002624512 0.49019610881805419922,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_156112169,2,1,0.61176472902297973633 0.43921571969985961914 0.66274511814117431641,0,0.61176472902297973633 0.43921571969985961914 0.66274511814117431641,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_169255215,2,1,0.66274511814117431641 1.00000000000000000000 0.84313732385635375977,0,0.66274511814117431641 1.00000000000000000000 0.84313732385635375977,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_028028177,2,1,0.10980392992496490479 0.10980392992496490479 0.69411766529083251953,0,0.10980392992496490479 0.10980392992496490479 0.69411766529083251953,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_087225087,2,1,0.34117648005485534668 0.88235300779342651367 0.34117648005485534668,0,0.34117648005485534668 0.88235300779342651367 0.34117648005485534668,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_143225087,2,1,0.56078433990478515625 0.88235300779342651367 0.34117648005485534668,0,0.56078433990478515625 0.88235300779342651367 0.34117648005485534668,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_167197131,2,1,0.65490198135375976563 0.77254909276962280273 0.51372551918029785156,0,0.65490198135375976563 0.77254909276962280273 0.51372551918029785156,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_083083125,2,1,0.32549020648002624512 0.32549020648002624512 0.49019610881805419922,0,0.32549020648002624512 0.32549020648002624512 0.49019610881805419922,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_255215000,2,1,1.00000000000000000000 0.84313732385635375977 0.00000000000000000000,0,1.00000000000000000000 0.84313732385635375977 0.00000000000000000000,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_131167197,2,1,0.51372551918029785156 0.65490198135375976563 0.77254909276962280273,0,0.51372551918029785156 0.65490198135375976563 0.77254909276962280273,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_125125083,2,1,0.49019610881805419922 0.49019610881805419922 0.32549020648002624512,0,0.49019610881805419922 0.49019610881805419922 0.32549020648002624512,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_197000000,2,1,0.77254909276962280273 0.00000000000000000000 0.00000000000000000000,0,0.77254909276962280273 0.00000000000000000000 0.00000000000000000000,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_028149177,2,1,0.10980392992496490479 0.58431375026702880859 0.69411766529083251953,0,0.10980392992496490479 0.58431375026702880859 0.69411766529083251953,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_055083062,2,1,0.21568629145622253418 0.32549020648002624512 0.24313727021217346191,0,0.21568629145622253418 0.32549020648002624512 0.24313727021217346191,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_197131183,2,1,0.77254909276962280273 0.51372551918029785156 0.71764707565307617188,0,0.77254909276962280273 0.51372551918029785156 0.71764707565307617188,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_196088225,2,1,0.76862752437591552734 0.34509804844856262207 0.88235300779342651367,0,0.76862752437591552734 0.34509804844856262207 0.88235300779342651367,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_055083083,2,1,0.21568629145622253418 0.32549020648002624512 0.32549020648002624512,0,0.21568629145622253418 0.32549020648002624512 0.32549020648002624512,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_132132132,2,1,0.51764708757400512695 0.51764708757400512695 0.51764708757400512695,0,0.51764708757400512695 0.51764708757400512695 0.51764708757400512695,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_000197167,2,1,0.00000000000000000000 0.77254909276962280273 0.65490198135375976563,0,0.00000000000000000000 0.77254909276962280273 0.65490198135375976563,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_105083125,2,1,0.41176474094390869141 0.32549020648002624512 0.49019610881805419922,0,0.41176474094390869141 0.32549020648002624512 0.49019610881805419922,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_105125000,2,1,0.41176474094390869141 0.49019610881805419922 0.00000000000000000000,0,0.41176474094390869141 0.49019610881805419922 0.00000000000000000000,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_083125115,2,1,0.32549020648002624512 0.49019610881805419922 0.45098042488098144531,0,0.32549020648002624512 0.49019610881805419922 0.45098042488098144531,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_255255255,2,1,1.00000000000000000000 1.00000000000000000000 1.00000000000000000000,0,1.00000000000000000000 1.00000000000000000000 1.00000000000000000000,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_027177088,2,1,0.10588236153125762939 0.69411766529083251953 0.34509804844856262207,0,0.10588236153125762939 0.69411766529083251953 0.34509804844856262207,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_087225198,2,1,0.34117648005485534668 0.88235300779342651367 0.77647066116333007813,0,0.34117648005485534668 0.88235300779342651367 0.77647066116333007813,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_028089177,2,1,0.10980392992496490479 0.34901961684226989746 0.69411766529083251953,0,0.10980392992496490479 0.34901961684226989746 0.69411766529083251953,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_135059008,2,1,0.52941179275512695313 0.23137256503105163574 0.03137255087494850159,0,0.52941179275512695313 0.23137256503105163574 0.03137255087494850159,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_008110135,2,1,0.03137255087494850159 0.43137258291244506836 0.52941179275512695313,0,0.03137255087494850159 0.43137258291244506836 0.52941179275512695313,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_088177027,2,1,0.34509804844856262207 0.69411766529083251953 0.10588236153125762939,0,0.34509804844856262207 0.69411766529083251953 0.10588236153125762939,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_197131197,2,1,0.77254909276962280273 0.51372551918029785156 0.77254909276962280273,0,0.77254909276962280273 0.51372551918029785156 0.77254909276962280273,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_125000055,2,1,0.49019610881805419922 0.00000000000000000000 0.21568629145622253418,0,0.49019610881805419922 0.00000000000000000000 0.21568629145622253418,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_255112000,2,1,1.00000000000000000000 0.43921571969985961914 0.00000000000000000000,0,1.00000000000000000000 0.43921571969985961914 0.00000000000000000000,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_169000169,2,1,0.66274511814117431641 0.00000000000000000000 0.66274511814117431641,0,0.66274511814117431641 0.00000000000000000000 0.66274511814117431641,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_000255169,2,1,0.00000000000000000000 1.00000000000000000000 0.66274511814117431641,0,0.00000000000000000000 1.00000000000000000000 0.66274511814117431641,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
wire_083055055,2,1,0.32549020648002624512 0.21568629145622253418 0.21568629145622253418,0,0.32549020648002624512 0.21568629145622253418 0.21568629145622253418,0.34999999403953552246 0.34999999403953552246 0.34999999403953552246,1 1 1,32
